sampleId,stratum,currentClassification,evidence,college,title,url,policySource,policyVerifiedAt,medicalLike,manualLabel,manualEvidenceUrl,reviewer,reviewNotes
AT-022,policy-tenure-track,tenure-track,institution-policy,Galveston College,Nursing Faculty,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=eb7db213-0a7d-4f21-8e8e-1ac6faf5d455&ccId=19000101_000001&jobId=9201202404543_1&lang=en_US&source=CC2,https://www.gc.edu/about-gc/administration/human-resources/documents/FacultyHandbookUpdated2-26-25.pdf,2026-09-21,true,,,,
AT-023,policy-tenure-track,tenure-track,institution-policy,Abraham Baldwin Agricultural College,Assistant/Associate Professor of Chemistry,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=302205&PostingSeq=1,https://provost.uga.edu/wp-content/uploads/appointment-promotion-tenure-guidelines-academic-rank-faculty.pdf,2026-09-20,false,,,,
AT-024,policy-tenure-track,tenure-track,institution-policy,UW-Madison,Assistant Professor of Public Policy (Market-Based Solutions to Societal Challenges),https://wisconsin.wd1.myworkdayjobs.com/UW_Madison/job/Madison-WI/Assistant-Professor-of-Public-Policy--Market-Based-Solutions-to-Societal-Challenges-_JR10012581,https://hr.wisc.edu/hr-guides/for-hr-professionals/tip-sheet-new-hire-of-assistant-professor/,2026-09-21,false,,,,
AT-025,policy-tenure-track,tenure-track,institution-policy,University of Minnesota,Assistant Professor - Cognitive and Brain Sciences,https://hr.myu.umn.edu/psc/hrprd/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=375565&PostingSeq=1,https://cla.umn.edu/psychology/about/employment,2026-09-22,false,,,,
AT-026,policy-tenure-track,tenure-track,institution-policy,Binghamton University,Assistant Professor of Finance,https://binghamton.interviewexchange.com/jobofferdetails.jsp?JOBID=204685,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,false,,,,
AT-027,policy-tenure-track,tenure-track,institution-policy,SUNY Alfred State College,Criminal Justice Assistant Professor,https://alfredstate.interviewexchange.com/jobofferdetails.jsp?JOBID=204913,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,false,,,,
AT-028,policy-tenure-track,tenure-track,institution-policy,University of South Florida,Assistant Professor - Audiovisual Media & Sound Studies,https://fa-ewkd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/USF/job/44392,https://www.usf.edu/arts-sciences/research-scholarship/priority-qa/pi-eligibility.aspx,2026-09-21,false,,,,
AT-029,policy-tenure-track,tenure-track,institution-policy,Miami University-Oxford,Assistant or Associate Professor - Information Systems,https://miamioh.wd5.myworkdayjobs.com/miamioh-faculty/job/Farmer-School-of-Business/Assistant-or-Associate-Professor---Information-Systems_JR104290,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,false,,,,
AT-030,policy-tenure-track,tenure-track,institution-policy,University of North Texas,Assistant Professor of Counseling Psychology,https://careers.untsystem.edu/jobs/assistant-professor-of-counseling-psychology-denton-texas-united-states,https://careers.untsystem.edu/jobs/search/search-page-unt-faculty,2026-09-21,false,,,,
AT-031,policy-tenure-track,tenure-track,institution-policy,Rice University,Assistant Faculty Position – Geoscience Innovation with AI,https://apply.interfolio.com/193007,https://eeps.rice.edu/eeps-job-opportunities-tenure-track-faculty,2026-09-22,false,,,,
AT-032,policy-tenure-track,tenure-track,institution-policy,Miami University-Oxford,Assistant/Associate Professor - ECE,https://miamioh.wd5.myworkdayjobs.com/miamioh-faculty/job/Engineering-Building/Assistant-Associate-Professor---ECE_JR104831,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,false,,,,
AT-033,policy-tenure-track,tenure-track,institution-policy,Kansas City Kansas Community College,Automation Engineer Technology Instructor,https://kckcc.applicantstack.com/x/detail/a2s0rr3gwix8,https://www.kckcc.edu/about/policies-procedures/human-resources/probationary-period.html,2026-09-20,false,,,,
AT-034,policy-tenure-track,tenure-track,institution-policy,De Anza College,"Instructor, Veterinary Technology (RVT)",https://www.schooljobs.com/careers/fhda/Faculty/jobs/5306984/instructor-veterinary-technology-rvt,https://www.foothill.fhda.edu/gov/academic-senate/2024-25/may19/May%2019.pdf,2026-09-20,false,,,,
AT-035,policy-tenure-track,tenure-track,institution-policy,Kansas City Kansas Community College,Driver’s Education Instructor,https://kckcc.applicantstack.com/x/detail/a2s0rr3s3fmz,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,false,,,,
AT-036,policy-tenure-track,tenure-track,institution-policy,Albany State University,Asst Professor Psychology Graduate Coordinator,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=301453&PostingSeq=1,https://provost.uga.edu/wp-content/uploads/appointment-promotion-tenure-guidelines-academic-rank-faculty.pdf,2026-09-20,false,,,,
AT-037,policy-tenure-track,tenure-track,institution-policy,Grambling State University,Assistant/Associate Professor of Public Administration,https://www.schooljobs.com/careers/gram/jobs/5464218/assistant-associate-professor-of-public-administration,https://www.gram.edu/offices/hr/new-employees/empclass.php,2026-09-22,false,,,,
AT-038,policy-tenure-track,tenure-track,institution-policy,University of Nebraska Medical Center,Associate Professor - Professor / Rank DOQ (Faculty),https://unmc.peopleadmin.com/postings/95704,https://www.unmc.edu/human-resources/_documents/nu-values/success_factors/faculty_other_academic_executive_administrative/procedures/academic_services-sf-faculty_requisition_procedures.pdf,2026-09-20,true,,,,
AT-039,policy-tenure-track,tenure-track,institution-policy,UC Davis,Assistant/Associate/Full Professor of Teaching in Epidemiology,https://recruit.ucdavis.edu/JPF07883,https://www.ucop.edu/academic-personnel-programs/_files/apm/apm-285.pdf,2026-09-20,false,,,,
AT-040,policy-tenure-track,tenure-track,institution-policy,University of Georgia,Assistant Professor,https://www.ugajobsearch.com/postings/506682,https://nontenuretrack.uga.edu/about/who-are-ntt-faculty,2026-09-21,false,,,,
AT-041,policy-non-tenure-track,non-tenure-track,institution-policy,Pacific Oaks College,Doctoral Capstone Coordinator (DCC) & Professor of Occupational Therapy (OT),https://tcsedsystem.wd1.myworkdayjobs.com/PacificOaksCareers/job/Pasadena-CA/Doctoral-Capstone-Coordinator--DCC----Professor-of-Occupational-Therapy--OT-_R0013192,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-20,false,,,,
AT-042,policy-non-tenure-track,non-tenure-track,institution-policy,University of Miami,Physical Therapy- Assistant Professor of Clinical,https://umiami.wd1.myworkdayjobs.com/UMFaculty/job/Coral-Gables-FL/Physical-Therapy--Assistant-Professor-of-Clinical_R100078898,https://med.miami.edu/offices/faculty-affairs/services/appointment-promotion-and-tenure,2026-09-09,true,,,,
AT-043,policy-non-tenure-track,non-tenure-track,institution-policy,Southeastern Technical College,"Dental Hygiene Instructor, Full-Time Position, Vidalia campus",https://www.tcsg.edu/job/dental-hygiene-instructor-full-time-position-vidalia-campus,https://nces.ed.gov/ipeds/reported-data/html/368911?year=2024&surveyNumber=9&viewmode=print,2026-09-20,true,,,,
AT-044,policy-non-tenure-track,non-tenure-track,institution-policy,The University of Texas Medical Branch at Galveston,"Assistant Professor of Clinical Practice, Internal Medicine-Pulmonary Sleep Medicine",https://applyjobs.utmb.edu/jobs/assistant-professor-of-clinical-practice-internal-medicine-pulmonary-sleep-medicine-34561,https://www.utmb.edu/facultyaffairs/faculty-appointments-(apt)/faculty-titles---appointments,2026-09-09,true,,,,
AT-045,policy-non-tenure-track,non-tenure-track,institution-policy,Ohio State University,Lecturer,https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Columbus-Campus/Lecturer_R150925-1,https://faculty.osu.edu/faculty-titles-contracts-and-renewals,2026-09-09,false,,,,
AT-046,policy-non-tenure-track,non-tenure-track,institution-policy,Santa Rosa Junior College,Associate Faculty - Lifelong Learning,https://www.communitycollegecareerconnect.com/jobs/cmp324jhi003b01nzck1jikl2,https://hr.santarosa.edu/benefits-associate-faculty,2026-09-10,false,,,,
AT-047,policy-non-tenure-track,non-tenure-track,institution-policy,William Rainey Harper College,Vocational Skills Lecturer - Business and Entrepreneurship,https://fa-eneh-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/230532,https://www.harpercollege.edu/academics/arts/web-development/faculty.php,2026-09-21,false,,,,
AT-048,policy-non-tenure-track,non-tenure-track,institution-policy,Northwest State Community College,Industrial Technology Faculty (Electrical),https://www.schooljobs.com/careers/northweststate/jobs/5444125/industrial-technology-faculty-electrical,https://nces.ed.gov/ipeds/reported-data/html/204440?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-049,policy-non-tenure-track,non-tenure-track,institution-policy,University of Mary,Faculty | Communication,https://universityofmary.applytojob.com/apply/pEl3DRCcoB/Faculty-Communication,https://nces.ed.gov/ipeds/reported-data/html/200217?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-050,policy-non-tenure-track,non-tenure-track,institution-policy,Texas State Technical College,Electrical Lineworker - Instructor,https://tstc.wd1.myworkdayjobs.com/TSTC_Jobs/job/Waco-Campus/Instructor--Electrical-Lineworker_R-005968,https://nces.ed.gov/ipeds/reported-data/html/487320?year=2024&surveyNumber=9&viewmode=print,2026-09-22,false,,,,
AT-051,policy-non-tenure-track,non-tenure-track,institution-policy,Oral Roberts University,Open Rank Professor of Nursing,https://oru.hrmdirect.com/employment/job-opening.php?req=2443907&req_loc=&&cust_sort1=154253&cust_sort2=-1&cust_sort3=-1&&nohd#job,https://oru.edu/pdfs/faculty-and-staff/faculty/new-docs/faculty-admin-handbook-2023-2024.pdf,2026-09-21,true,,,,
AT-052,policy-non-tenure-track,non-tenure-track,institution-policy,Wake Technical Community College,"Instructor, 9M Culinary Arts",https://www.schooljobs.com/careers/waketechedu/jobs/5491563/instructor-9m-culinary-arts,https://wordpress.nccommunitycolleges.edu/wp-content/uploads/2025/08/ENTIRE-CODE-01AUG25-2.pdf,2026-09-10,false,,,,
AT-053,policy-non-tenure-track,non-tenure-track,institution-policy,Franklin Pierce University,Principal Faculty (MPAS-TX),https://franklinpierceuniversity.applytojob.com/apply/VbY7uCrxO5/Principal-Faculty-MPASTX,https://nces.ed.gov/ipeds/reported-data/html/182795?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-054,policy-non-tenure-track,non-tenure-track,institution-policy,Samuel Merritt University,"Annual Faculty - Mental Health Nursing, ABSN (Oakland)",https://samuelmerritt.wd1.myworkdayjobs.com/smucareers/job/Oakland-Campus/XMLNAME--SEP-2025-START--Annual-Faculty---Community-Health-Nursing--ABSN--Oakland-_JR100960,https://www.samuelmerritt.edu/sites/default/files/2021-09/Faculty%20Handbook%20-%202021-09%20Revision_0.pdf,2026-09-20,true,,,,
AT-055,policy-non-tenure-track,non-tenure-track,institution-policy,Georgia State University,Clinical Assistant Professor of Audiology,https://facultycareers.gsu.edu/postings/7237,https://faculty.gsu.edu/faculty-handbook/,2026-09-21,true,,,,
AT-056,policy-non-tenure-track,non-tenure-track,institution-policy,The University of Texas Medical Branch at Galveston,"Instructor Clinical Practice, Emergency Medical Group",https://applyjobs.utmb.edu/jobs/instructor-clinical-practice-emergency-medical-group-33336,https://www.utmb.edu/facultyaffairs/faculty-appointments-(apt)/faculty-titles---appointments,2026-09-09,true,,,,
AT-057,policy-non-tenure-track,non-tenure-track,institution-policy,Ohio State University,Research Professor,https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Research-Professor_R158721,https://faculty.osu.edu/faculty-titles-contracts-and-renewals,2026-09-09,false,,,,
AT-058,policy-non-tenure-track,non-tenure-track,institution-policy,Texas Southmost College,Divisional Dean of Arts & Sciences,https://tsc.peopleadmin.com/postings/6916,https://nces.ed.gov/ipeds/reported-data/html/227377?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-059,policy-non-tenure-track,non-tenure-track,institution-policy,Columbia University in the City of New York,Assistant Professor of Medicine (in the Center for Family and Community Medicine) at CUMC,https://apply.interfolio.com/166211,https://www.cuimc.columbia.edu/about-us/faculty-staff-students/academic-affairs/faculty-academic-tracks,2026-09-09,true,,,,
AT-060,policy-non-tenure-track,non-tenure-track,institution-policy,Columbia University in the City of New York,Faculty- All Ranks - Clinical: Instructor/ Assistant Professor/ Associate Professor / Professor at the CUMC,https://apply.interfolio.com/174271,https://www.cuimc.columbia.edu/about-us/faculty-staff-students/academic-affairs/faculty-academic-tracks,2026-09-09,true,,,,
AT-061,policy-non-tenure-track,non-tenure-track,institution-policy,Texas State Technical College,Aviation Maintenance Technology - Instructor,https://tstc.wd1.myworkdayjobs.com/TSTC_Jobs/job/Waco-Campus/Aviation-Maintenance-Technology---Instructor_R-006030-1,https://nces.ed.gov/ipeds/reported-data/html/487320?year=2024&surveyNumber=9&viewmode=print,2026-09-22,false,,,,
AT-062,policy-non-tenure-track,non-tenure-track,institution-policy,Alamance Community College,Cosmetology Instructor (9month Faculty),https://www.schooljobs.com/careers/alamanceccedu/jobs/5483298/cosmetology-instructor-9month-faculty,https://wordpress.nccommunitycolleges.edu/wp-content/uploads/2025/08/ENTIRE-CODE-01AUG25-2.pdf,2026-09-10,false,,,,
AT-063,policy-non-tenure-track,non-tenure-track,institution-policy,Florence-Darlington Technical College,"Nursing Instructor (Peds, OB, or Psych Experience)",https://www.schooljobs.com/careers/fdtc/jobs/4999254/nursing-instructor-peds-ob-or-psych-experience,https://www.scstatehouse.gov/code/t59c053.php,2026-09-15,true,,,,
AT-064,policy-non-tenure-track,non-tenure-track,institution-policy,East Tennessee State University,Assistant Professor,https://fa-evyu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1180,https://www.etsu.edu/research/orspa/documents/ug_pi_eligibility_policy.pdf,2026-09-22,false,,,,
AT-065,policy-non-tenure-track,non-tenure-track,institution-policy,Boston College,Assistant Professor of the Practice / Assistant Director of Irish Studies,https://apply.interfolio.com/191724,https://www.bc.edu/content/bc-web/academics/sites/office-of-provost/faculty-gateway/faculty-handbook.html,2026-09-20,false,,,,
AT-066,policy-non-tenure-track,non-tenure-track,institution-policy,University of Miami,"Clinical Faculty, Open Rank - Diagnostic Radiology, Breast Imaging",https://umiami.wd1.myworkdayjobs.com/UMFaculty/job/Miami-FL/Clinical-Faculty--Open-Rank---Diagnostic-Radiology--Breast-Imaging_R100091284,https://med.miami.edu/-/media/millerschool/offices/faculty-affairs/documents/remediated-bylaws.ashx?rev=5fce168d2fd545f8b35d2e1da79b9821,2026-09-21,true,,,,
AT-067,policy-non-tenure-track,non-tenure-track,institution-policy,University of Miami,Assistant Professor of Clinical - Anesthesiology,https://umiami.wd1.myworkdayjobs.com/UMFaculty/job/Miami-FL/Assistant-Professor-of-Clinical---Anesthesiology_R100087319-1,https://med.miami.edu/offices/faculty-affairs/services/appointment-promotion-and-tenure,2026-09-09,true,,,,
AT-068,policy-non-tenure-track,non-tenure-track,institution-policy,Tulsa Community College,Assistant Professor - Engineering,https://www.schooljobs.com/careers/tulsacc/jobs/5176520/assistant-professor-engineering,https://nces.ed.gov/ipeds/reported-data/html/207935?year=2024&surveyNumber=9&viewmode=print,2026-09-20,false,,,,
AT-069,policy-non-tenure-track,non-tenure-track,institution-policy,Princeton University,Lecturer,https://apply.interfolio.com/185637,https://faculty.princeton.edu/faculty/faculty-ranks-appointment-advancement,2026-09-21,false,,,,
AT-070,policy-non-tenure-track,non-tenure-track,institution-policy,UC San Francisco,In Residence/ Ladder Faculty - Gladstone-UCSF Institute of Genomic Immunology,https://aprecruit.ucsf.edu/JPF05958,https://www.ucop.edu/academic-personnel-programs/_files/apm/apm-270.pdf,2026-09-20,false,,,,
AT-071,policy-non-tenure-track,non-tenure-track,institution-policy,Rockingham Community College,"Faculty, Nursing (9-Month)",https://www.schooljobs.com/careers/rockinghamcc/jobs/5250162/faculty-nursing-9-month,https://wordpress.nccommunitycolleges.edu/wp-content/uploads/2025/08/ENTIRE-CODE-01AUG25-2.pdf,2026-09-10,true,,,,
AT-072,policy-non-tenure-track,non-tenure-track,institution-policy,East Carolina University,"Clinical Assistant Professor, Assistant Professor, Clinical Associate Professor, Associate Professor — EHH BSOM Pathology",https://ecu.peopleadmin.com/postings/97173,https://facultysenate.ecu.edu/manual/part8-section1/,2026-09-15,true,,,,
AT-073,policy-non-tenure-track,non-tenure-track,institution-policy,The University of Texas Medical Branch at Galveston,"Instructor Clinical Practice, Emergency Medical Group",https://applyjobs.utmb.edu/jobs/instructor-clinical-practice-emergency-medical-group-33370,https://www.utmb.edu/facultyaffairs/faculty-appointments-(apt)/faculty-titles---appointments,2026-09-09,true,,,,
AT-074,policy-non-tenure-track,non-tenure-track,institution-policy,George Mason University,Instructor Qualifications and Credentialing Requirements,https://provost.gmu.edu/academics/accreditation/instructor-qualifications-and-credentialing-requirements,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,false,,,,
AT-075,policy-non-tenure-track,non-tenure-track,institution-policy,Columbia University in the City of New York,Assistant Professor of Medicine at CUMC - Pulmonary,https://apply.interfolio.com/177507,https://www.cuimc.columbia.edu/about-us/faculty-staff-students/academic-affairs/faculty-academic-tracks,2026-09-09,true,,,,
AT-076,policy-non-tenure-track,non-tenure-track,institution-policy,Kennesaw State University,Lecturer of Construction Management,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=301728&PostingSeq=1,https://facultyhandbook.kennesaw.edu/,2026-09-15,false,,,,
AT-077,policy-non-tenure-track,non-tenure-track,institution-policy,Mitchell Community College,"Economics, Faculty",https://www.schooljobs.com/careers/mitchellcc/jobs/5484706/economics-faculty,https://wordpress.nccommunitycolleges.edu/wp-content/uploads/2025/08/ENTIRE-CODE-01AUG25-2.pdf,2026-09-10,false,,,,
AT-078,policy-non-tenure-track,non-tenure-track,institution-policy,University of Washington,"Assistant, Associate or Full Professor of Clinical Practice - UW Pediatric Cardiology Non Invasive Imaging Pediatrics, Cardiology",https://ap.washington.edu/ahr/position-details?job_id=179414,https://ap.washington.edu/ahr/academic-titles-ranks/professorial/,2026-09-10,true,,,,
AT-079,policy-non-tenure-track,non-tenure-track,institution-policy,Lake Land College,Correctional Commercial Cooking Instructor at East Moline Correctional Center,https://www.schooljobs.com/careers/lakelandcollege/jobs/5226163/correctional-commercial-cooking-instructor-at-east-moline-correctional-center,https://www.lakelandcollege.edu/wp-content/laker-documents/laker/bot/Board%20Book%20January%202026.pdf,2026-09-21,false,,,,
AT-080,policy-non-tenure-track,non-tenure-track,institution-policy,Ohio State University,"Physician - Pulmonology, Pulmonary, Critical Care (Open Rank/ Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Medical-Center-Campus/Physician---Pulmonology--Pulmonary--Critical-Care--Open-Rank--Track-Faculty-_R115492-1,https://hr.osu.edu/careers/,2026-09-21,true,,,,
AT-081,variable-track,variable,variable-language,East Tennessee State University,Assistant/Associate Professor of Physiology,https://fa-evyu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1258,,,false,,,,
AT-082,variable-track,variable,variable-language,Alabama A & M University,Assistant / Associate Professor of Educational Research,https://www.schooljobs.com/careers/aamu/jobs/5066984/assistant-associate-professor-of-educational-research,,,false,,,,
AT-083,variable-track,variable,variable-language,Oklahoma State University,Assistant or Associate Professor 213709,https://jobs.okstate.edu/jobs/assistant-or-associate-professor-213709-stillwater-oklahoma-united-states,,,true,,,,
AT-084,variable-track,variable,variable-language,Alabama A & M University,Assistant / Associate Professor of Management/Management Information Systems,https://www.schooljobs.com/careers/aamu/jobs/4985690/assistant-associate-professor-of-management-management-information-systems,,,false,,,,
AT-085,variable-track,variable,variable-language,Ohio State University,"Physician – Pathology, Neuropathology (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician---Pathology--Neuropathology--Open-Rank-Track-Faculty-_R152045-1,,,true,,,,
