title,url,source,category,college,location,description,department,specialization,systemGroup
2026-2027 Lecturer Pool Recruitment,https://recruit.ucdavis.edu/JPF07417,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2026-27 Urban Planning and Public Policy Lecturer,https://recruit.ap.uci.edu/JPF10057,UC,Faculty,UC Irvine,"Irvine, CA",,,,California Public
2028 Hans G. Dehmelt and David J. Thouless Postdoctoral Fellowships Physics,https://ap.washington.edu/ahr/position-details/?job_id=169858,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"25-26 Health Sciences Clinical Professor, All Ranks - School of Medicine, Department of Surgery",https://recruit.ap.uci.edu/JPF09790,UC,Faculty,UC Irvine,"Irvine, CA",,"School of Medicine, Department of Surgery","School of Medicine, Department of Surgery",California Public
25-26 Postdoctoral Scholar - Immuno - Virology and Vaccine Development (Pool Ad),https://recruit.ap.uci.edu/JPF09899,UC,Faculty,UC Irvine,"Irvine, CA",,Immuno — Virology and Vaccine Development (Pool Ad),Immuno — Virology and Vaccine Development (Pool Ad),California Public
25-26 Postdoctoral Scholars/Fellows - Ophthalmology and Visual Sciences (Pool Recruitment),https://recruit.ap.uci.edu/JPF09891,UC,Faculty,UC Irvine,"Irvine, CA",,Ophthalmology and Visual Sciences (Pool Recruitment),Ophthalmology and Visual Sciences (Pool Recruitment),California Public
"3/4 Time Faculty, Department of History",https://jobs.rowan.edu/en-us/job/500992/34-time-faculty-department-of-history,NJ,Faculty,Rowan University,"Rowan University, NJ",,,,
"3/4 Time Faculty, Department of Mechanical Engineering",https://jobs.rowan.edu/en-us/job/499766/34-time-faculty-department-of-mechanical-engineering,NJ,Faculty,Rowan University,"Rowan University, NJ",,,,
¾ Time Faculty- Department of Experiential Engineering Education (ExEEd),https://jobs.rowan.edu/en-us/job/499779/time-faculty-department-of-experiential-engineering-education-exeed,NJ,Faculty,Rowan University,"Rowan University, NJ",,,,
9 month - Teaching Faculty (Diagnostic Medical Sonography),https://jobs.vccs.edu/postings/94137,VA,Faculty,Central Virginia Community College,"Central Virginia Community College, VA",,Teaching Faculty (Diagnostic Medical Sonography),Teaching Faculty (Diagnostic Medical Sonography),
9 Month-Teaching Faculty (Veterinary Technology),https://jobs.vccs.edu/postings/94144,VA,Faculty,Central Virginia Community College,"Central Virginia Community College, VA",,,,
9-Month Teaching Faculty (Health Information Management),https://jobs.vccs.edu/postings/94139,VA,Faculty,Central Virginia Community College,"Central Virginia Community College, VA",,,,
9-Month Teaching Faculty (Interior Design),https://jobs.vccs.edu/postings/94166,VA,Faculty,Central Virginia Community College,"Central Virginia Community College, VA",,,,
A Professor’s Passion,https://www.cts.edu/2026/03/02/a-professors-passion/,IN,Faculty,Christian Theological Seminary,"Christian Theological Seminary, IN",,,,Indiana
"Abdomen-Extended Instructor, Diagnostic Medical Sonography Program",https://facultyjobs.umbc.edu/en-us/job/495168/abdomenextended-instructor-diagnostic-medical-sonography-program,MD,Faculty,"University of Maryland, Baltimore County","Catonsville, MD",,Diagnostic Medical Sonography Program,Diagnostic Medical Sonography Program,Maryland
"Abdominal Wall Reconstruction Fellowship, Clinical Instructor, Surgery, Bariatric Foregut and Advanced GI Surgery",https://apply.interfolio.com/178131,NY,Faculty,Stony Brook University (SUNY),"Stony Brook, NY","AWR Fellowship Welcome to the Stony Brook Abdominal Wall Reconstruction (AWR) Fellowship! This one-year program provides comprehensive training in all aspects of hernia pathology, and our graduates are prepared to manage the full spectrum of ventral and groin hernias, including recurrent and complex ones. The designated AWR fellowship pathway was established in 2025 and is built on two decades of experience within our nationally recognized Minimally Invasive Surgery fellowship. We currently offer one independent AWR position outside the Fellowship Council match. Fellows gain broad exposure to a wide variety of AWR procedures, with approximately three-quarters performed robotically (IPUM+, rTAPP, eTEP-RS, rTAR, robotic parastomals, SCOLA, TAPPRA, LIRA, PeTEP). Open experience include recurrent inguinal and inguinoscrotal hernias, mesh explantation and neurectomies, and multiple recurrent ventral hernias, including loss-of-domain cases. Overall case mix and volume exceeds Fellowship Council AWR designation requirements. The fellow participates actively in clinics and operates across three neighboring facilities. Call responsibilities are light, with infrequent acute care surgery call (no trauma), to support a smooth graduated transition to independent practice. Additionally, AWR fellow splits the Advanced GI Surgery service call with MIS/Bariatric fellow. Stony Brook University Hospital’s (SBUH) unique suburban setting combined with established referral patterns, provides a steady flow of patients with diverse comorbidities and hernia pathology. This breadth of experience prepares fellows for real-world practice in a range of settings, from urban academic centers to community hospitals. Education and Case Mix Educational experience includes discussion of cases and management in clinics and operating room, weekly morbidity and mortality conferences and grand rounds with Department of Surgery. Additionally, we conduct bi-monthly virtual discussions of the most interesti",,,New York Public
"Academic Advisor 2 - Undergraduate Business Programs - Houston, Texas, United States - s. Come work alongside a committed group of faculty and staff to provide transformational",https://careers.uh.edu/jobs/academic-advisor-2-undergraduate-business-programs-houston-texas-united-states-8b50024d-2a8b-4ec4-a3b0-41bd6ecc5e9a,TX,Faculty,University of Houston,"Houston, TX",,s. Come work alongside a committed group of faculty and staff to provide transformational,s. Come work alongside a committed group of faculty and staff to provide transformational,Texas
"Academic Advisor 3 - Undergraduate Business Programs - Houston, Texas, United States - s. Come work alongside a committed group of faculty and staff to provide transformational",https://careers.uh.edu/jobs/academic-advisor-3-undergraduate-business-programs-houston-texas-united-states,TX,Faculty,University of Houston,"Houston, TX",,s. Come work alongside a committed group of faculty and staff to provide transformational,s. Come work alongside a committed group of faculty and staff to provide transformational,Texas
Academic Affairs Available Faculty Positions,https://www.southalabama.edu/departments/academicaffairs/facultyposition.html,AL,Faculty,University of South Alabama,"Mobile, AL",,,,Alabama
"Academic Clinical Chemistry Pathologist, Assistant/Associate/Full Professor",https://recruit.ucdavis.edu/JPF07241,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
"Academic Coordinator, Department of Civil and Environmental Engineering with Professors MJ Qomi and Detwiler",https://recruit.ap.uci.edu/JPF10063,UC,Faculty,UC Irvine,"Irvine, CA",,,,California Public
Academic Coordinator/ Lecturer (Pre-Six) in Educational Leadership (Ed.D.),https://apol-recruit.ucsd.edu/JPF04453,UC,Faculty,UC San Diego,"San Diego, CA",,,,California Public
Academic Dean's Office,https://www.pomona.edu/administration/academic-dean,Claremont,Faculty,Pomona College,"Claremont, CA",,,,
Academic General Gastroenterologist - Assistant/Associate Professor in the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,https://recruit.ucdavis.edu/JPF07189,UC,Faculty,UC Davis,"Davis, CA",,the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,California Public
Academic General Gastroenterologist - Assistant/Associate Professor in the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,https://recruit.ucdavis.edu/JPF07235,UC,Faculty,UC Davis,"Davis, CA",,the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,California Public
"Academic Generalist, Clinical Assistant/Associate Professor, OBGYN, General",https://apply.interfolio.com/178622,NY,Faculty,Stony Brook University (SUNY),"Stony Brook, NY","The Division of General Obstetrics &amp; Gynecology at Stony Brook Medicine is recruiting a full-time Academic Specialist in General Obstetrics and Gynecology to join a busy academic practice with an established history of excellence.&nbsp; Position responsibilities include clinical care of outpatients, inpatient deliveries, surgeries, and involvement in medical student, resident, and fellow education.&nbsp; This is a great opportunity to join a dynamic department with career opportunities in education, quality, simulation, and research.",,,New York Public
Academic Hospital Medicine Faculty (ZSFG),https://aprecruit.ucsf.edu/JPF05753,UC,Faculty,UC San Francisco,"San Francisco, CA",,,,California Public
"Academic Hospitalist, Clinical Assistant/Associate Professor, OBGYN, General",https://apply.interfolio.com/171666,NY,Faculty,Stony Brook University (SUNY),"Stony Brook, NY","The Division of General Obstetrics &amp; Gynecology at Stony Brook Medicine is recruiting a full-time Hospitalist.&nbsp; The Department’s academic practice has a well-established history of excellence, and Stony Brook University Hospital is strongly committed to the hospitalist model.&nbsp; Hospitalist responsibilities include inpatient obstetrics &amp; gynecology coverage, participation in quality initiatives, and education of medical students and residents.&nbsp; This is a great opportunity to join a dynamic and growing department with career opportunities in education, quality, simulation, and research.",,,New York Public
Academic Hospitalist: Instructor/ Assistant Professor/ Associate Professor at the CUMC,https://apply.interfolio.com/169292,NY,Faculty,Columbia University,"Columbia University, NY","The Department of Medicine, Division of General Medicine at the Columbia University Medical Center in New York City is looking to expand our academic hospitalist group at the Milstein Hospital. Duties include teaching of residents and medical students, providing direct patient care with the assistance of physician assistants, and involvement in quality improvements, patient safety initiatives and other academic activities. Successful applicants must have clinical teaching experience in comparable setting and substantive interest in hospital medicine, either as a career path or gap year before subspecialty fellowship. We are recruiting for daytime, nighttime, and hybrid positions; please indicate your interest in one or more of these schedules in your cover letter. We are considering applicants at the Instructor, Assistant and Associate Professor levels. Learn more at&nbsp; https://www.genmed.columbia.edu/hospital-medicine Salary Range: &nbsp;$218,000-$265,000 Instructor in Medicine at CUMC: &nbsp;$218,000 Assistant Professor of Medicine at CUMC: &nbsp;$235,000 Associate Professor of Medicine at CUMC: &nbsp;$265,000",,,New York Public
Academic Joint Departments - Assistant Professor/Tenure-Earning Faculty Positions in Virology - Department of Microbiology,https://uab.peopleadmin.com/postings/25782,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,,,Alabama
Academic Joint Departments - Open Rank - Clinical Genetics (Faculty),https://uab.peopleadmin.com/postings/25644,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,Open Rank — Clinical Genetics (Faculty),Open Rank — Clinical Genetics (Faculty),Alabama
Academic Joint Departments - Open Rank/ Open Tenure - Clinical Genetics/Genomic Medicine Faculty,https://uab.peopleadmin.com/postings/25658,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,Open Rank/ Open Tenure — Clinical Genetics/Genomic Medicine,Open Rank/ Open Tenure — Clinical Genetics/Genomic Medicine,Alabama
Academic Joint Departments - Open Rank/ Open Tenure - Clinical Genetics/Genomic Medicine Faculty,https://uab.peopleadmin.com/postings/25596,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,Open Rank/ Open Tenure — Clinical Genetics/Genomic Medicine,Open Rank/ Open Tenure — Clinical Genetics/Genomic Medicine,Alabama
Academic joint Departments-Associate Professor-Molecular & Cellular Pathology,https://uab.peopleadmin.com/postings/25781,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,,,Alabama
Academic Joint Departments-Open Rank/Open Tenure-Clinical Genetics/Genomic Medicine Faculty,https://uab.peopleadmin.com/postings/25845,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,,,Alabama
Academic Joint Health Department-Assistant Professor-Neurobiology,https://uab.peopleadmin.com/postings/25803,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,,,Alabama
Academic Obstetrics and Gynecology Hospitalist (Clinical Assistant Professor) in the Department of Obstetrics and Gynecology Obstetrics and Gynecology,https://ap.washington.edu/ahr/position-details/?job_id=169369,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
Academic Palliative Medicine Faculty,https://aprecruit.ucsf.edu/JPF05884,UC,Faculty,UC San Francisco,"San Francisco, CA",,,,California Public
Academic Professional Track (Non-Tenure): Assistant Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177125&JobId=180820,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice,the Practice,Texas
Academic Professional Track (Non-Tenure): Associate Professor of the Practice or Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=173752&JobId=177814,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice or Professor of the Practice,the Practice or Professor of the Practice,Texas
Academic Professional Track (Non-Tenure): Associate Professor of the Practice or Professor of the Practice and Department Head,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177737&JobId=181357,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice or Professor of the Practice and Department Head,the Practice or Professor of the Practice and Department Head,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant or Associate Professor Small Animal Clinical Educator,https://faculty.tamu.edu/JobDetail.aspx?PositionId=171447&JobId=175744,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant Professor or Clinical Associate Professor in Small Animal Primary Care,https://faculty.tamu.edu/JobDetail.aspx?PositionId=160245&JobId=165732,TX,Faculty,Texas A&M University,"College Station, TX",,Small Animal Primary Care,Small Animal Primary Care,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant Professor or Clinical Associate Professor of Veterinary Clinical Pathology,https://faculty.tamu.edu/JobDetail.aspx?PositionId=174042&JobId=178073,TX,Faculty,Texas A&M University,"College Station, TX",,Veterinary Clinical Pathology,Veterinary Clinical Pathology,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant/Associate Professor - Comparative Ophthalmology,https://faculty.tamu.edu/JobDetail.aspx?PositionId=96724&JobId=107700,TX,Faculty,Texas A&M University,"College Station, TX",,Comparative Ophthalmology,Comparative Ophthalmology,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant/Associate Professor; Assistant/Associate Professor of the Practice; Lecturer/Senior Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177295&JobId=180966,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice; Lecturer/Senior Lecturer,the Practice; Lecturer/Senior Lecturer,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177438&JobId=181095,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor - Biomedical Genetics,https://faculty.tamu.edu/JobDetail.aspx?PositionId=178757&JobId=182289,TX,Faculty,Texas A&M University,"College Station, TX",,Biomedical Genetics,Biomedical Genetics,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor - McAllen,https://faculty.tamu.edu/JobDetail.aspx?PositionId=172124&JobId=176337,TX,Faculty,Texas A&M University,"College Station, TX",,McAllen,McAllen,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor in Literacy,https://faculty.tamu.edu/JobDetail.aspx?PositionId=164851&JobId=169879,TX,Faculty,Texas A&M University,"College Station, TX",,Literacy,Literacy,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor or (visiting) Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=153934&JobId=159995,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor or Assistant Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=168469&JobId=173095,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice,the Practice,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor or Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=175592&JobId=179469,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Associate Professor or Instructional Professor and Associate Dean for Academic Affairs,https://faculty.tamu.edu/JobDetail.aspx?PositionId=172003&JobId=176237,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Professor and Department Head of Engineering Medicine Education,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177480&JobId=181131,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Professor and Department Head of Pharmacy Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=172285&JobId=176481,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=116445&JobId=125723,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=179082&JobId=182583,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Lecturer of Chinese,https://faculty.tamu.edu/JobDetail.aspx?PositionId=176753&JobId=180501,TX,Faculty,Texas A&M University,"College Station, TX",,Chinese,Chinese,Texas
Academic Professional Track (Non-Tenure): Lecturer Open Rank – McAllen Campus,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177255&JobId=180933,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Open Rank- Lecturer in Clinical Instruction,https://faculty.tamu.edu/JobDetail.aspx?PositionId=175933&JobId=179767,TX,Faculty,Texas A&M University,"College Station, TX",,Clinical Instruction,Clinical Instruction,Texas
Academic Professional Track (Non-Tenure): Open Rank-Clinical or Clinical Faculty-Geriatric,https://faculty.tamu.edu/JobDetail.aspx?PositionId=136771&JobId=144114,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=176551&JobId=180320,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice,the Practice,Texas
Academic Professional Track (Non-Tenure): Professor of the Practice and Department Head of Public Service and Administration,https://faculty.tamu.edu/JobDetail.aspx?PositionId=172108&JobId=176319,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice and Department Head of Public Service and Administration,the Practice and Department Head of Public Service and Administration,Texas
Academic Professional Track (Non-Tenure): Professor of the Practice and Instructional Professor,https://faculty.tamu.edu/JobDetail.aspx?PositionId=166123&JobId=171024,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice and Instructional Professor,the Practice and Instructional Professor,Texas
Academic Professional Track (Non-Tenure): Senior Lecturer and Director of the Tax Dispute Resolution Clinic,https://faculty.tamu.edu/JobDetail.aspx?PositionId=169090&JobId=173647,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Visiting Lecturer or Lecturer-McAllen Campus,https://faculty.tamu.edu/JobDetail.aspx?PositionId=170109&JobId=174545,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track Faculty (Non-Tenure): Instructional Assistant Professor,https://faculty.tamu.edu/JobDetail.aspx?PositionId=169014&JobId=173589,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Tract (Non-Tenure) : Clinical Associate Professor or Clinical Professor and Residency Program Director with Shannon Health System,https://faculty.tamu.edu/JobDetail.aspx?PositionId=146271&JobId=152908,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
"Academic Scholar - Assistant or Associate Professor, Memory Disorders Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/56243,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,"Assistant or Associate Professor, Memory Disorders Region: Western New York Open until filled","Assistant or Associate Professor, Memory Disorders Region: Western New York Open until filled",New York Public
Academic Scholar - Assistant Professor/Associate Professor - Department of Medicine Region: Western New York Open until filled,https://www.ubjobs.buffalo.edu/postings/60622,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,,,New York Public
"Academic Scholar - Assistant/Associate Professor, Division of Nephrology Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60955,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,"Assistant/Associate Professor, Division of Nephrology Region: Western New York Open until filled","Assistant/Associate Professor, Division of Nephrology Region: Western New York Open until filled",New York Public
Academic Scholar - Assistant/Associate/Full Professor - Department of Psychiatry Region: Western New York Open until filled,https://www.ubjobs.buffalo.edu/postings/59656,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,Assistant/Associate/Full Professor — Department of Psychiatry Region: Western New York Open until filled,Assistant/Associate/Full Professor — Department of Psychiatry Region: Western New York Open until filled,New York Public
"Academic Scholar - Assistant/Associate/Full Professor; Department of Medicine, Division of Endocrinology, Diabetes, and Metabolism Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60396,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,,,New York Public
Academic Scholar - Assistant/Associate/Full Professor; Medicine; Division of Infectious Disease Region: Western New York Open until filled,https://www.ubjobs.buffalo.edu/postings/61270,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,Assistant/Associate/Full Professor; Medicine; Division of Infectious Disease Region: Western New York Open until filled,Assistant/Associate/Full Professor; Medicine; Division of Infectious Disease Region: Western New York Open until filled,New York Public
"Academic Scholar - Clinical Assistant or Associate Professor HS, General Internal Medicine Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60331,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,"Clinical Assistant or Associate Professor HS, General Internal Medicine Region: Western New York Open until filled","Clinical Assistant or Associate Professor HS, General Internal Medicine Region: Western New York Open until filled",New York Public
Academic Scholar - Clinical Assistant or Associate Professor Region: Western New York Open until filled,https://www.ubjobs.buffalo.edu/postings/60384,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,Clinical Assistant or Associate Professor Region: Western New York Open until filled,Clinical Assistant or Associate Professor Region: Western New York Open until filled,New York Public
"Academic Scholar - Clinical Assistant or Associate Professor, Child Neurology, Department of Neurology Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60815,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,,,New York Public
"Academic Scholar - Clinical Assistant or Associate Professor, Child Neurology/Epilepsy, Department of Neurology Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60816,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,,,New York Public
"Academic Scholar - Clinical Assistant or Associate Professor, Division of Emergency Medicine Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/59381,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,"Clinical Assistant or Associate Professor, Division of Emergency Medicine Region: Western New York Open until filled","Clinical Assistant or Associate Professor, Division of Emergency Medicine Region: Western New York Open until filled",New York Public
"Academic Scholar - Clinical Assistant or Associate Professor, General Neurologist Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60328,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,"Clinical Assistant or Associate Professor, General Neurologist Region: Western New York Open until filled","Clinical Assistant or Associate Professor, General Neurologist Region: Western New York Open until filled",New York Public
"Academic Scholar - Clinical Assistant or Associate Professor, Hospitalist Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60087,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,"Clinical Assistant or Associate Professor, Hospitalist Region: Western New York Open until filled","Clinical Assistant or Associate Professor, Hospitalist Region: Western New York Open until filled",New York Public
"Academic Scholar - Clinical Assistant or Associate Professor, Movement Disorders - Department of Neurology Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60091,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,,,New York Public
"Academic Scholar - Clinical Assistant or Associate Professor, Multiple Sclerosis Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60813,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,"Clinical Assistant or Associate Professor, Multiple Sclerosis Region: Western New York Open until filled","Clinical Assistant or Associate Professor, Multiple Sclerosis Region: Western New York Open until filled",New York Public
"Academic Scholar - Clinical Assistant or Associate Professor, Neuromuscular Disorders Region: Western New York Open until filled",https://www.ubjobs.buffalo.edu/postings/60814,NY,Faculty,University at Buffalo (SUNY),"University at Buffalo (SUNY), NY",,"Clinical Assistant or Associate Professor, Neuromuscular Disorders Region: Western New York Open until filled","Clinical Assistant or Associate Professor, Neuromuscular Disorders Region: Western New York Open until filled",New York Public
